/Users/georgeauto/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-06 08:00:00,759 INFO pulse: Orithena Pulse starting — domain=agentic, date=2026-03-06
2026-03-06 08:00:00,781 INFO pulse: Loaded domain config: Agentic AI
2026-03-06 08:00:00,781 INFO pulse: === Stage 1: Scrape ===
2026-03-06 08:00:00,782 INFO scraper.base: Running adapter: hn
2026-03-06 08:00:12,808 INFO scraper.hn: HN adapter collected 12 unique items
2026-03-06 08:00:12,808 INFO scraper.base: Adapter hn fetched 12 items
2026-03-06 08:00:12,810 INFO scraper.base: Saved 12 raw items to /Users/georgeauto/orithena/orithena-pulse/data/raw/hn/2026-03-06.json
2026-03-06 08:00:12,810 INFO pulse: Source hn: fetched 12 items
2026-03-06 08:00:12,812 INFO scraper.base: Running adapter: arxiv
2026-03-06 08:00:13,420 INFO scraper.arxiv: arXiv adapter collected 100 items
2026-03-06 08:00:13,420 INFO scraper.base: Adapter arxiv fetched 100 items
2026-03-06 08:00:13,425 INFO scraper.base: Saved 100 raw items to /Users/georgeauto/orithena/orithena-pulse/data/raw/arxiv/2026-03-06.json
2026-03-06 08:00:13,425 INFO pulse: Source arxiv: fetched 100 items
2026-03-06 08:00:13,426 INFO scraper.base: Running adapter: github_trending
2026-03-06 08:00:35,584 INFO scraper.github_trending: GitHub trending adapter collected 328 unique repos
2026-03-06 08:00:35,584 INFO scraper.base: Adapter github_trending fetched 328 items
2026-03-06 08:00:35,597 INFO scraper.base: Saved 328 raw items to /Users/georgeauto/orithena/orithena-pulse/data/raw/github_trending/2026-03-06.json
2026-03-06 08:00:35,597 INFO pulse: Source github_trending: fetched 328 items
2026-03-06 08:00:35,598 INFO scraper.base: Running adapter: rss
2026-03-06 08:00:37,887 WARNING scraper.rss: RSS feed 'The Batch (deeplearning.ai)' had parse errors and no entries: <unknown>:2:4391: not well-formed (invalid token)
2026-03-06 08:00:44,506 WARNING scraper.rss: RSS feed 'Anthropic Blog' had parse errors and no entries: <unknown>:2:3549: not well-formed (invalid token)
2026-03-06 08:00:49,080 INFO scraper.rss: RSS adapter collected 19 items
2026-03-06 08:00:49,080 INFO scraper.base: Adapter rss fetched 19 items
2026-03-06 08:00:49,084 INFO scraper.base: Saved 19 raw items to /Users/georgeauto/orithena/orithena-pulse/data/raw/rss/2026-03-06.json
2026-03-06 08:00:49,084 INFO pulse: Source rss: fetched 19 items
2026-03-06 08:00:49,084 INFO pulse: Scrape complete: 459 total items
2026-03-06 08:00:49,084 INFO pulse: === Stage 2: Deduplicate ===
2026-03-06 08:00:49,230 INFO pulse: Dedup: 459 -> 459 items
2026-03-06 08:00:49,230 INFO pulse: === Stage 3: Score / Curate ===
2026-03-06 08:00:49,375 INFO pulse: Saved 459 scored items to /Users/georgeauto/orithena/orithena-pulse/data/scored.json
2026-03-06 08:00:49,375 INFO pulse: Curation: 459 scored, 353 passed threshold
2026-03-06 08:00:49,376 INFO pulse: === Stage 3.5: Fit Evaluation ===
2026-03-06 08:00:54,426 WARNING intelligence.fit_evaluator: Claude HTTP API call failed: Expecting value: line 1 column 1 (char 0)
2026-03-06 08:00:54,426 INFO intelligence.fit_evaluator: API unavailable — using placeholders for all items
2026-03-06 08:00:54,427 INFO intelligence.fit_evaluator: Evaluated fit for 353 items (API available: False)
2026-03-06 08:00:54,428 INFO pulse: Fit evaluation: 353 items, 0 high signal
2026-03-06 08:00:54,484 INFO pulse: Updated scored.json with fit data
2026-03-06 08:00:54,484 INFO pulse: === Stage 4: Build Site ===
2026-03-06 08:00:54,484 INFO sitegen.build: Building site for 2026-03-06 with 353 items
2026-03-06 08:00:54,506 INFO sitegen.build: Wrote index.html
2026-03-06 08:00:54,508 INFO sitegen.build: Wrote archive/2026-03-06.html
2026-03-06 08:00:54,512 INFO sitegen.build: Wrote archive.html with 3 dates
2026-03-06 08:00:54,516 INFO sitegen.build: Wrote about.html
2026-03-06 08:00:54,516 INFO sitegen.build: Wrote feed.xml
2026-03-06 08:00:54,520 INFO sitegen.build: Copied static assets (css/, js/)
2026-03-06 08:00:54,520 INFO sitegen.build: Site build complete: /Users/georgeauto/orithena/orithena-pulse/output/site
2026-03-06 08:00:54,521 INFO pulse: Site built successfully: /Users/georgeauto/orithena/orithena-pulse/output/site
2026-03-06 08:00:54,521 INFO pulse: === Stage 5: Intelligence ===
2026-03-06 08:00:54,526 INFO intelligence.report: Saved report: /Users/georgeauto/orithena/orithena-pulse/data/reports/2026-03-06/rss__d07097099c58a24c.md
